msno,song_id,source_system_tab,source_screen_name,source_type,target
MekEoenDQ/CRo5c22FDIZXAL3v8kmaygmEKKV75uka0=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
sqPiRxVGIjjbgjsPzU03vj4oS3Ei6WuNXlWtcj/OjHM=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,explore,Search,online-playlist,0
kGcEDfD6xpXKKGeQEvmva+y26HR90429FAvf4len0W8=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
fblrkjnJV5VmLQhCpN47aiRZbY5Hfp6RKh/aoadA/GY=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Feature,online-playlist,1
rEHhJRVwvRc1EdDvWej/FafBERHwuVpVZ2t5Pss/LVU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
Z6CFvUJfrRAAA9Vgdmv0JjchYx5kTmUul2PN1U7X1Sg=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
PwNcK9pmv+Z246XF98nPW9ID/9xvqEzCh6IG/a7RPZg=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Search Trends,song,1
wQhWBIhplBsgL5V7rUIx38cd1TQhCSRJmK8uoHugVcg=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Search Trends,song,1
KXS4mDTuweetiTTxgkbg8uohB20KUXvkXz6g4l3r40c=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,0
q5/m/mdsXnb0cAEUKi738ChL2rbi4Q3NfEW0nHlikmM=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,,online-playlist,1
8lzDY1rgAegzKl561m/AZWeF+7X8TplmqesrNXsNPh0=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,explore,Online playlist more,online-playlist,0
zlHrQDGC5kNTZrDa3S/Rr8CEbGHLpQOrqcHmqHr9ejk=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Search Trends,song,0
6EAZWFA/KIbqT7BYhxkhmnzxl9Q5fyMn9ptjamRfR7M=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
PQZPC6xbnDvHt/+6WBRsrm9Zwf/thoEVH/EtKmgMv80=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
XB1tdiedzUVsj1g8hhQvLWzaTHdI3GO5FcXB1UQcfYY=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,,online-playlist,0
cC5D8F32roVNnJduZSaMNGnsFBbdYcVGUXhhaYzD88k=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,notification,Album more,album,1
Jgix2DkPFUACeG9rs3BvX4uHSY/TQnV93drncSoFxfg=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
2Ih98l+nMGS4hFj4KNYHThm7QSZ5PyutvOYkDzkS0JY=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Search Home,online-playlist,0
69zw2q5cjT4DcLpn+7UAETUg5cFAZTRF3885oqpMQ3U=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
xi+6XaxDBLrSgfqly3hd+2iWD2KHAyHo41IvgEyaVYg=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
TEfth6JpdyXBbqQANYx+OVPPzKF2pLr+L1kikdkrNeI=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,album,1
P+q2PthptWgZlXHkyB7ZSfPBIfijw/g+6aT3aEjOjgc=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
qKEsSOU7xmui4qb6pzbOUdVyTYYNCwjw4PrJF6ESYTE=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
+ZBneYLH+XDdioF/BPVnYOqzqdLdKWLO3INxyVgNgtU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,notification,Album more,album,1
MGGHmi2YoVVe0OSLMFmOZ65ZQLOqYg4y4upuI6EfWGc=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
zaQO33JMpd6szWDsIp/4T6oKDhKy19KFpvFATlLIQpw=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
vGgTZY7wEn1vetPcIf5VmABrqpgamquSzJUSXO5Qqok=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
rjRl67asBF0lRydRYPLTPJ0SqC/NQEi8Yt7Ql4sjJSY=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Album more,album,1
E9VF50E63LkTv1jd46XYvz084NXnEFrPreoDBVl6blQ=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
B9TmY43ERQy7ECFu1TrbeZ6Qwlil7d5qd2mFeRFQlwQ=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
cN3LbjVEgILlGqa/CTujqDJVbN2CA+AFFysuQSyMNKo=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
bhJfjSws6LZJf3hOlwLbs/hcDJDkt6CgpAkZKHx52jE=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,explore,Online playlist more,online-playlist,1
wcxE4Np5iimbWdORwy67ijPfxKDrLN2nfQ1wk0Qwrkg=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
EGetQvJWwnGvKA0w1SDb1YlM6cG9hnZHv8kLshD5aEE=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
5yU/XYws2/MGSRFNbL5SDd2A8Kb9shz6ExM+KNVdds8=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,0
HqgTkGfDO0wyGWOm8FfpqXAIkRdES0VYuWS3jXyPhZ8=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Feature,online-playlist,1
NRMgEJIE61EUV9cIT9zuqrGpkV7Pc9CKdyKdzP2zMnU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
gkCuK8NhLrmER/TRlhCKATUjATYiNgy6f2xEOslsF4A=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
myqxD4zJlCbj4ER5ehYgk03+HkU544hCYnJQXYO6gro=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
W/GqJ6FXRpLVtIoLGjbXvRJIOTOWHXWnjtltRgh0+w0=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
SlhnMAZJr0nJRvm1qP004lOIiHNa9hRq2Q2u13VDSio=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Feature,online-playlist,0
rKkT2zHiwdl3ZaoO2oKqsDQs4astdN91b3kne9pEAXY=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
mhs5leRUBbwtelJ5ofUedNRhO0csDLN7UlmDqp8ZxvY=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Feature,online-playlist,0
slNWzSDQp9cWaGmP/zK1HS4uIjZloRUckDsKYAtienA=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,notification,Album more,album,1
16pGH8W1JKJTrQSZDX3gQY57S3FiO4YJheGRiYbONsU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Search Trends,song,0
oUA29rK6UPPJTo3fLhikuCWbetqY+McAQlewtSl1bRg=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
L15UCLmUJWnPSKfdoRu6Yxq8+SuLzQFokrt2l8IK2SE=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,explore,,online-playlist,1
+YvGQNnEQ2kL/Zmxrzofo3XM7jvcmC8Fvib7/6CE7LI=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Album more,album,0
k7rrpLsUog2t2B9xJT2l6id+8u02hGGlL06Xndc3rGU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Album more,album,0
omeVK9siFKYdo/Vd8iJAxKowRgzR5L+OyMLQGqpKSB8=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
1mLIcr3KuTej13nEnSW6pDjXekZvNlsgCs71dZtI1y0=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
GwU6cmo4Gbl4OtNlqbHWeiJTW9j0hAoxkDX6Xfaggb0=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
5oQOGl+dMZVIOqkD9jdRJpMSSK8zHOgED5SNE4LoWW8=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Search Home,online-playlist,1
J3rhWsnkfU/fUInROS1dijkaCQ62IZ/knAy6ttcf3MU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Genre,online-playlist,0
tqDbQimYu7nkRagp7Lnb9vGvvJ+LIk5hi4GVjQgYaCU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
Bb1jVigF8Bxl480X33baeVwFhIgDbTv2M2Nr2MTkojU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Album more,album,0
QC/f53jEoAfuE0zp93k+P42FBVpXsHjxbrImXGEHlEQ=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Album more,album,1
dlM6M9bv+apNJd+WjsyP9g7XqHmLQbAXJ7B4AmFUuS4=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Feature,online-playlist,0
lbTNxAE+U9GxPAMSaHW79wa5PQTg5NKUGoabgDY545Y=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Search Home,online-playlist,1
nkm8jBPfZH6BOp0uQ28NBQfrwOkIsMOnE3mB9BTLTRc=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
Qh0RP1Refm1D6eV5PjusX+agjnNczGUR8eeWBGj3UvU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Album more,album,1
AJIKXlh8Q3AetWfKBeVeuu8rWcOP+IjtdP1/zPTBtd4=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,,online-playlist,1
V3guUFxroqky9VbyW2KBaBfPnFlJWY9qWyQRJMttzIs=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Search,song,0
m8JWTwxpn7zniC87Uhm2zHSkhAxUQFM3gdhXqZUlfG8=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
mABeLHxG2RNp+rfHh4RDGt/EVl/DO7SChhj4Sz2ICVo=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Album more,album,0
OMy7VLQDDDlAqrp/YCl+BvzGIgZoWNejIDqSl8siqIM=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
hdzAHKbI1vAGMHBMTC+HpGID0U9/npI1lfXP+s/hwWw=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
uv6xZ4KasQMAlRTfScd4foRTKD8jqqb0ycjsu92t+Zw=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
agxS5ih/ll2Kb4fqGnYN0ePtzJQ5NlV2G1zwAUzlT0U=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Feature,online-playlist,0
TTrLQyCfVW1KeyBqEaWeNS01cnC2ZuiezhJe2Hhqytg=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
KsjbiO2iw8TpMfu+9Bf2p8GI57Q53lsHXy1xWIMKH/E=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Album more,album,0
iY5U26P1jvimGGO/6Y5yKb2L/Sl/S/jViXzPX09fK68=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
xqM05RPOKOvMBAKFhktCSoQ9vyrzgSDz0GVNYTms4ZQ=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,0
4pVPGU4UAIIaRyy5d/SPImXnHHEgIiT5N3Qt0mWlZsA=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Genre,online-playlist,0
T5x/m7Da0HHXz3ToMYJzvwDY/m69RsPdJ9p20g4/A+U=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Search,song,1
ZvGq8sKCn6BUTxWIkdlJqi2I8rCeAYy/BumhRC9jhlo=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
zSMguoo7ZovGy1/G9S5EUe39DLctTYkg5MWBQ9IYEoo=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
62vZ1vuVXdWEcrna8HpdtwpnAFQG2mzzzNMm08EwLVI=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,notification,Album more,album,1
Tp173ohnS8G7aAQfyPUzqLceEcb+TFI/8Gix6Ql34MQ=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
zZ5deYiGDrn1GxmlmdhYY7Pz8IR6iFiaeTXWqHduY6c=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
o6lVTGcU8lL0OI4fOMWc21THJHoOjqxxYlYACoyTN6g=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Discover Chart,online-playlist,0
raSHWveC/O3zl1PeODVXe56yEjrlzy4f0LeiuB9zTsM=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
y7dGSsJj9ApMvo1ISnG7p9MrFEmxYyH68rGIPWWe0M4=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Album more,album,0
p3RXTQvZmfn+gZNPOiwJN12AdlG/3UQAwAsM8o88L6w=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Feature,online-playlist,0
FUAGEbP9gTNnkTfcu5usPRHfBgTXlWIp1J19AVHV5/g=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
WS2wSgpm3qmXJ5M1yGlZx0MSoQkGS0MIWTKvbp5BMKo=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Feature,online-playlist,0
0q2jtocxyZD3BnU8+KM6SoRmJ5zMMnsGHPGUYkymbFk=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Search Trends,song,0
aSDzlImvSIf3cZQXOV2nIej5UwQxcKKwQuXJgmh2nLU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,0
j/uvSDIx36E3s8u3ksCkhxnuoDadNjL573me/Jpiw3w=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
3Ursc4LRwmNlDXN5uufIqanoY1OUjjEQNAgTkfLzgFA=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
53blBrNlWm8dJVZrdlNUDYWsiyo802MmeBrW5YOSU/s=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,explore,Online playlist more,topic-article-playlist,0
Q5a7PzpwxbthVO/5VhHuCUDouoHXbx3IfA6/5nli4Po=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,notification,Album more,album,1
UXat3eKUHuI43nHv7AmIk6bVEKW0N04k5OgQe/HWtlI=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Album more,album,1
HFd+69L1FeLqLmDlhpvbDInf8+BeGDJWsxhcG7MZK+4=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Feature,online-playlist,0
2py1N+YUMs51S5OZ5jCZLSt7kpV/eVoypoROrn7x8Ys=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,explore,Online playlist more,topic-article-playlist,1
5JAxvJOCIjNUuH87fzONdIN+zXFCsrrQ35CFdsdcLZI=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
R4ikGsSHtccf56DXRJrcRvGgbILFL0H2XpxIYNGXZQw=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
qf1AFXIE3jQgsv+yIrvnXZESKdQeGzuusHXLb/O+IfY=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
t++UlVrtwjcqax6fnWqmKAVqXNtQzZKiKE2ZSZdoT7Y=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
MH7FSufPuhHvTY/QP4I58o0U0N6xDga+0p81FRPhfOc=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,0
UKqufH+8HxG0l4tvAyL4OqU9UGQRL4d5BVTFKUAp1jc=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
grSc7yXYJIXcl6hGEWeCawEGrnARa06HC9kcBnm9GdM=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-playlist,1
ygOANYHHdsj8duw+BIEln3OUlRb/OoVzZn8ctjIMMqI=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Chart,online-playlist,0
JkQacE3rvmhh65R04eDLbu+M7MCkpzmHwMGrbZo0puc=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Discover Chart,online-playlist,1
QN1BkJujHRBdl0xsKxugeFP1PKPTx6P7rPTYzArJOGU=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,search,Album more,album,1
2OwFoqSSYrglA4JRP6bD30jDW3Y0pSAyHRftuBZFKXw=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Local playlist more,local-library,0
JKVRHL75ZvzFbgfakexNbrd4uXjZRJr9GB5QM+VDDoA=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,discover,Online playlist more,online-playlist,1
oEAqda+fMExuEhGYU9muAGPm8HolUIfiXhVyYq3sUlo=,t95ClWf/B7Hi46sJeL70WJ75u7gLwaAp8o7LHuTtxl0=,my library,Local playlist more,local-library,1
