song_id,song_length,genre_ids,artist_name,composer,lyricist,language
F1j0iR7gEQ4552DdHAC38//WOdSUL/b/DErL+Yfo0dM=,236468,352|1995,Seafret,Oliver Sykes|Lee Malia|Jordan Fish|Matt Kean|Mat Nicholls,Oliver Sykes|Lee Malia|Jordan Fish|Matt Kean|Mat Nicholls,52
ybP5sPnNrsIBT1VFEOpCp5n9sFoxuy7RsSA/L+o92s0=,205386,352|1995,Kodaline,Steve Garrigan|Mark Prendergast|Vincent May,Steve Garrigan|Mark Prendergast|Vincent May,52
I3cQhgl0xr/U06KHrqPjHzXWRcEAXcSKFBLhw5vI5JQ=,235242,352|1995,Ryan Adams,Martin Sandberg|Shellback|Taylor Swift,,52
+EXmlxQuYSFgk0f7y7PAVcLsGIfVldCIlJ/7f7LfpYg=,280537,352|1995,Oasis,Noel Gallagher,Noel Gallagher,52
0e83pSBDuDa2iCcdTJpBjWPu0YquVp4lCclGMmFzI10=,204991,352|1995,Tonight Alive,Whakaio Taahi|Jenna McDougall,Whakaio Taahi|Jenna McDougall,52
sqAXfiAOcnQ84PNhMvHzCDHDV1qopWe0alTlshi0yFE=,194124,352|1995,Tonight Alive,Whakaio Taahi|Jenna McDougall,Whakaio Taahi|Jenna McDougall,52
KZN4TfAtHHv27iU+26tDD1SPAAexnMog12CW6VxFK2g=,171456,726,Sweet Little Band,,,-1
ykCInBG32OzT049+7Zu1Ax4ohK4JAYtMWrBOs2908Bo=,139969,726,Muffin Songs,,,52
2rrE58h6SwQ//AuO+q694nE7rUYz1PjzJiszDmXj8UI=,94180,726,Nursery Rhymes,Traditional,Traditional,52
NRwvX3B6w0RZCftbZ2+DXz95W+ThV2JMiCgE293ihHE=,135186,726,Carole King,,,-1
dYqhJ944wVXYNrc56kvPWHTz/+zerXWV8FvxqjPRnkI=,62786,726,Cast - Phineas and Ferb,Joseph Gilbert Orrantia| Martin Olson,,52
w3+LSEE/VFp2ZneYHuISukUH+qTN1qvQzI0yZi6jfTI=,236358,726,Bedtime Songs Collective,Neuromancer,,-1
VaRGfldK9nis61xVGM7ggcC+Pxv64iz/OMLFOZkq6yI=,269908,726,The Jamborees,,,-1
NV9HhUzyK50tGvxb3w0PdZoaw3Ypp86XDmmMr0vgFdg=,262749,139,John Legend,John Stephens,John Stephens,52
Dm3IIPOFbrvJp5yuJIlZI0pfdWyMAB0F9b2J6rIW0bA=,194272,139|125|109,Solange,Solange Knowles| Raphael Saadiq| Dylan Wiggins,Solange Knowles| Raphael Saadiq| Dylan Wiggins,52
estbd9IwIBucEXA/NMyVoEm72l8536yQODQMfNRyE0c=,244645,139,The Weeknd,Abel Tesfaye| Thomas Bangalter| Guy-Manuel de Homem-Christo| Martin Mckinney| Henry Russell Walter| Jason Quenneville,,52
664Cs+Ge1tPoiHtZLIcvCGzk4WI3GqkniUDd+viK+hI=,266843,139,Akon,"Aliaune ""Akon"" Thiam| Giorgio Tuinfort| C. Kelly",,52
WqI1qLGzbPSkyn9YJK+vHYxuXPbdf593gRVRmvfHICY=,241441,139,Keri Hilson,N. Hills| E. Dean| M. Araica,,52
g0jP5lxmTYmWc0spF4/KEbNy0RxKsMXHZ4kDKPUaZTY=,241673,139|125|109,Donell Jones,,,52
anJ+jo1TFI3eOFErE/BSbVr3izwYpCF+LeDMLQMM7/Y=,270791,139|125|109,Whitney Houston,,,52
